,,Pattern Matching Male Song,,Pattern Matching Male Chorus,,Pattern Matching Female Song,,Pattern Matching Hatchling,,Pattern Matching Nestling,,Pattern Matching Fledgling,,,,Pulse 1,,,,,,,,,Pulse 2,,,,,,,,,Pulse 3,,,,,,,,,Pulse 4,,,,,,,,,53,,55,,57,,59,,,,63,,,,,,,,,72,,74,75,,,"Text for the ""Results"" in the report",,,Text for the Key Dates and Outcomes Table,,,,,,,,VLookup,VLookup,,,VLookup,VLookup,VLookup,VLookup,,Used in Stats?
26536,2021 Kern 7,2021 Kern 7 K5MS02,119,2021 K7 MC01,0,2021 Kern 7 FS02,29,2021 Kern 7 Hatchling,0,2021 Kern 7 Nestling,0,2021 Kern 7 FC06,0,5/17/2021,9/1/2021,pre,pre,5/19/2021,5/31/2021,ND,ND,ND,ND,6/5/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 Kern 7 Insect sp30-02,86,2021 Kern 7 Insect sp31-01,2,2021 Kern 7 Insect sp32-02,7,2021 Kern 7 Insect sp33,26,,,2021 K7 PTF,0,,,,,,,Y,Unknown,,Abandoned,n/a,n/a,n/a,"Both automated pattern matching and manual review indicated that Tricolored Blackbird vocal detections ceased by early June, supporting classification of this breeding attempt as Abandoned shortly after the onset of Brooding. To improve temporal resolution at this site, three recordings per day were manually reviewed rather than the standard protocol of three recordings every third day. Abandonment was temporally coincident with temperatures exceeding 90°F, which may have contributed to the outcome.",,"If there was Male Chorus it was before recorder was placed. Hatch day for colony only had 5 rec w/ YNC present, but since this was a small colony I accepted a smaller number of present to indicate hatch day. Colony failed and last Tricolored Blackbird vocalization was heard on 6/5/2021.",12,NEED,Stinging nettle,Riparian forest composed of old Fremont cottonwood and red willow trees and many young Fremont cottonwood trees (< 3 m tall). The ground is covered mainly by grass (alkali rye) with many patches of dead and new stinging nettle. There are also some areas with mulefat. The colony of Tricolored Blackbird is ~60 m from an irrigation channel and ~100 m from the South Fork Kern River. ,Kern,Pat Lorch,plorch@southernsierraresearch.org,,Southern Sierra Research Station,2021 Kern 7,,,7547,35.6710,-118.2900,809,,Y
26432,2021 Markham Ravine,2021 Markham Ravine MS 5.0,0,2021 MR MC01,0,2021 Markham Ravine FS01,0,2021 MR Hatchling,0,2021 MR Nestling,0,2021 MR FC06,0,4/30/2021,6/23/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 MR Insect sp30-02,14,2021 MR Insect sp31-01,211,2021 MR Insect sp32-02,746,2021 MR Insect sp33,212,,,,,,,,,,,Y,No TRBL,,No TRBL,n/a,n/a,n/a,,"Pattern matching and manual review confirmed the absence of all Tricolored Blackbird vocalizations. Although the site had supported colonies in previous years, no colony formed in 2021.","Manually analyzed data to confirm no birds present by doing 3 recordings (8am,11am,2pm) every thrid day. Also did template analysis for MS and FS with no hits found.",No Colony,No Colony,"Himalayan blackberry, willow","Several patches of Himalayan blackberry, totaling approximately 0.6 ha, along Markham Ravine Creek. The site was surrounded by cultivated rice fields, open grassland, and a former irrigated hayfield that was converted to a wetland mitigation site during 2018. ",Placer,Tara Collins,"no longer there, email Charlotte Marks instead",,Markham Ravine,2021 Markham Ravine,,,3894,38.8720,-121.4540,19,,
24252,2021 Orchard Creek,2021 OC MS HL05,411,2021 OC MC01,725,2021 OC FS01,415,2021 OC Hatchling,166,2021 OC Nestling,579,2021 OC FC06,440,4/19/2021,7/4/2021,pre,4/23/2021,4/16/2021,4/28/2021,5,5/15/2021,17,5/31/2021,ND,5/4/2021,5/15/2021,5/13/2021,5/25/2021,10,6/3/2021,9,6/17/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 OC Insect sp30-02,222,2021 OC Insect sp31-01,4,2021 OC Insect sp32-02,28,2021 OC Insect sp33,13,,,,,,,,,,,,Additions,,Successful,Successful,n/a,n/a,"Two overlapping but internally synchronous breeding cohorts were detected. The second cohort initiated breeding approximately three weeks after the first, earlier than expected for a Sequential colony structure and before fledglings from the initial cohort had fully dispersed. The temporal overlap and acoustic separation of the two cohorts support classification of this colony as Additions rather than Sequential. Recordings containing Fledgling Begging Calls were detected for both cohorts, and both breeding attempts were therefore classified as Successful.",,"Pulse one over laps pulse 2, such that the YNC of pulse 2 over lap with ONC of pulse 1. There is a drop in ONC starting the 25th, suggesting that a group dispersed on this date. Edge analysis of the first pulse shows evidence of a possible weak pulse before this first one that is recorded. The second pulse has YNC starting consistently on 5/24. Cleaned up the NC templates to better stick with the age range by insisting that the sonogrms more closely look like the template. Hear a consistent but very infrequent nestling call all the way to start (need to finish going back in time on edge to prove this is true)",NEED,2500,Himalayan blackberry,"Several adjacent clumps of Himalayan blackberry just east of Industrial Avenue, approximately 1/4 mile south of Twelve Bridges Rd. 

NEED: This site description is from the TRBL Portal and doesn't match the GPS coordinates.",Placer,Deren Ross,rossierran@gmail.com,,Placer County,2021 Orchard Creek,,,5465,38.8618,-121.3710,28,,
24233,2021 Panoche Creek Preserve 1W,2021 PCP1W MS04,339,2021 PCP W MC01,365,2021 PCP1W FS01,154,2021 PCP 1W Hatchling,0,2021 PCP 1W Nestling,7,2021 PCP1W FC06,4,4/1/2021,7/14/2021,4/7/2021,4/18/2021,4/20/2021,5/2/2021,14,~5/23/2021,21,~5/24/2021,4/30/2021P,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 PCP1W Insect sp30-02,87,2021 PCP 1W Insect sp31-01,191,2021 PCP 1W Insect sp32-02,753,2021 PCP 1W Insect sp33,100,,,2021 PCP 1W PTF,1317,,,,,,,Y,Simple,,Partially Abandoned,n/a,n/a,n/a,"The ARU was deployed during Settlement. The ARI score for this breeding attempt was 0.017, corresponding to classification as Partially Abandoned. A small fraction of recordings contained Fledgling Begging Call detections, indicating that young successfully left the nest despite Partial Abandonment.
The site had been labeled Panoche Creek Preserve 1W, but was renamed to align with the name in the UC Davis Tricolored Blackbird Portal.",,,10,NEED,Cattails,"An emergent marsh dominated by narrow-leaf cattail and bulrush, fed by a narrow stream flowing through riparian woodland dominated by phreatophytic plants including Fremont cottonwood and red willow, and herbaceous understory plants such as salt grass and alkali heath. The colonies in 2021 occurred primarily along the western half of this wetland. A prescribed burn was conducted in this area on February 7th, 2020.  ",San Benito,Ben Teton,bteton@cnlm.org,,CNLM,2021 Panoche Creek Marsh East 1,,2021 Panoche Creek Marsh East 2: These were definitely in the same colony. 1E had much better data,7507,36.5906,-120.7690,314,,Y
24232,2021 Panoche Creek Preserve 2E,2021 PCP2E MStyp5,513,2021 PCP 2E MC01,431,2021 PCP2E Mini PCP2E FS07,306,2021 PCP 2E Hatchling,25,2021 PCP 2E Nestling,112,2021 PCP2E FC06,31,4/1/2021,7/14/2021,4/7/2021,4/18/2021,4/18/2021,4/30/2021,12,5/18/2021,18,5/22/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 PCP2E Insect sp30-02,52,2021 PCP 2E Insect sp31-01,153,2021 PCP 2E Insect sp32-02,470,2021 PCP 2E Insect sp33,70,,,2021 PCP 2E PTF,2069,,,,,,,Y,Simple,,Successful,n/a,n/a,n/a,"The ARU was deployed during Settlement. Female Chatter detections persisted for several days after the onset of Brooding; however, the temporal pattern of Begging Call detections indicates a single synchronous breeding attempt. No evidence of Partial Abandonment was observed at this site. Fledgling Begging Call detections declined rapidly following fledging, consistent with prompt dispersal.
The site was labeled Panoche Creek Preserve 2E, but had been renamed to align with the name in the UC Davis Tricolored Blackbird Portal.",,,5,NEED,Cattails,"An emergent marsh dominated by narrow-leaf cattail and bulrush, fed by a narrow stream flowing through riparian woodland dominated by phreatophytic plants including Fremont cottonwood and red willow, and herbaceous understory plants such as salt grass and alkali heath. The colonies in 2021 occurred primarily along the western half of this wetland. A prescribed burn was conducted in this area on February 7th, 2020.  ",San Benito,Ben Teton,bteton@cnlm.org,,CNLM,2021 Panoche Creek Marsh East 2,,,7507,36.5907,-120.7650,307,,Y
21537,2021 Plumas Arboga,2021 Plumas Arboga MS01,1113,2021 PA MC01,33,2021 Plumas Arboga FS01,432,2021 PA Hatchling,27,2021 PA Nestling,62,2021 PA FC06,0,5/14/2021,6/4/2021,pre,pre,5/15/2021,5/27/2021,ND,post,ND,post,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 PA Insect sp30-02,0,2021 PA Insect sp31-01,0,2021 PA Insect sp32-02,1,2021 PA Insect sp33,27,,,2021 PA PTF,200,,,,,,,,Unknown,,Unknown,n/a,n/a,n/a,"The ARU ceased recording shortly before the expected fledging date. Recordings containing Nestling Begging Calls indicate that hatching occurred, but the ARU failed before fledging could be confirmed. As a result, neither colony type nor outcome could be determined. Ratios of recordings containing Nestling Begging Calls to those containing Female Chatter indicate that the breeding attempt was Partially Abandoned prior to ARU failure. A period of excessive heat coincided with the timing of Partial Abandonment and is potentially the cause.",,"The ARU was placed just at the cessation of Male Chorus. The batteries failed on 4-Jun, just before nestlings would have fledged. Nestlings were approximately ten days old, just slightly before the predicted fledging date, and there is no way to be certain if they successfully fledged.",NEED,NEED,Cattails with Himalayan blackberry,NEED,Yuba,Robert Meese,,,Central Sacramento Valley,2021 Plumas Arboga,,,1515,39.0296,-121.5370,17,,
24119,2021 Rancho Jamul,2021 RJ MS-local,48,2021 RJ MC01,0,2021 RJ FS01,0,2021 RJ Hatchling,0,2021 RJ Nestling,0,2021 RJ FC06,0,3/19/2021,6/5/2021,pre,pre,ND,ND,ND,ND,ND,~5/27/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 RJ Insect sp30-02,0,2021 RJ Insect sp31-01,0,2021 RJ Insect sp32-02,0,2021 RJ Insect sp33,0,,,,,,,,,,,Y,Asynchronous,,Successful,n/a,n/a,n/a,"Signal clarity in the recordings was reduced due to incorrect placement of the ARU's microphone within the drybox, which limited the effectiveness of automated pattern matching. Manual review detected Male Song, Female Chatter, and Begging Calls. THe Begging Calls detected are likely limited to the louder Fledgling Begging Calls. No breeding stage dates were assigned. Given the extended presence of FEmale Chatter the colony structure is Asynchronous. Recordings containing Fledgling Begging Calls indicate that young successfully left the nest, and the breeding attempt was therefore classified as Successful.",Because recordings were faint a mini-manual analysis was performed. Hatchling and subsequent Nestling and Fledgling Begging Calls indicate that breeding progressed through fledging. The presence of Fledgling Begging Calls confirms successful reproduction.,"Something did not work. Either the recorder is too distant, the recorder was placed backwards in the drybox, or the microphone failed. I can barely hear the chorus, but all other vocalizations are not distinguishable, so no analysis was performed.",NEED,NEED,"Cattails, bulrush or tule",Two ponds surrounded by annual grasslands.,San Diego,"Tracie Nelson, John Martin","tracie.nelson@wildlife.ca.gov, xenozoon7@gmail.com",,Rancho Jamul,2021 Rancho Jamul,,,4997,32.6846,-116.8560,234,,N
24231,2021 Rodeo Grounds 1,2021 RG1 MS03,826,2021 RG1 MC01,177,2021 RG1 FS 01,455,2021 RG1 Hatchling,48,2021 RG1 Nestling,382,2021 RG1 FC06,208,4/19/2021,6/13/2021,pre,4/21/2021,4/20/2021,5/2/2021,11,5/11/2021,9,5/26/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 RG1 Insect sp30-02,24,2021 RG1 Insect sp31-01,0,2021 RG1 Insect sp32-02,0,2021 RG1 Insect sp33,4,,,2021 RG1 PTF,19,,,,,,,,Simple,,Successful,n/a,n/a,n/a,"The ARU was deployed during the transition between Settlement and Incubation. The dominant detection pattern was consistent with a Simple synchronous breeding attempt. Sustained Fledgling Begging Call detections were recorded, and the breeding attempt was therefore classified as Successful.",,,NEED,40,Himalayan blackberry,"Multiple Himalayan blackberry patches interspersed with cattails and bulrushes exist along the creek west of the road. Four patches are colony locations, 60-200 yards from parkway, each along the canal. The creek flows just north of a housing development.",Placer,Deren Ross,rossierran@gmail.com,,Placer County,2021 Rodeo Grounds,,,3954,38.8627,-121.2870,52,,Y
24549,2021 Rush Ranch,2021 Rush Ranch MS try1,23,2021 RR MC01,3,2021 Rush Ranch FS01,0,2021 RR Hatchling,0,2021 RR Nestling,0,2021 Rush Ranch FC06,0,2/2/2021,5/13/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 RR Insect sp30-02,0,2021 RR Insect SP31-01,5,2021 RR Insect sp32-02,69,2021 RR Insect sp33,48,,,,,,,,,,,Y,No Colony,,No Colony,n/a,n/a,n/a,"The ARU was placed early in the season. Only scattered recordings containing Male Song and Male Chorus were detected, with no evidence of Female Chatter or dependent-young vocalizations. Acoustic evidence indicates that colony establishment did not occur.",,,2m,No Colony,No Colony,"Approximately 0.9-ha, stream-fed pond containing cattails and bulrushes , together covering approximately 60% of the pond. Grassland grazed by cattle surrounds the site.",Solano,Wendy Schackwitz,,,Solano County,2021 Rush Ranch,,,6857,38.2080,-122.0140,6,,
25171,2021 SJWA,2021 SJWA MS02,128,2021 SJWA MC01,51,2021 SJWA FS01,183,2021 SJWA Hatchling,0,2021 SJWA Nestling,10,2021 SJWA FC06,8,6/2/2021,6/30/2021,pre,6/5/2021,6/3/2021,6/15/2021,10,ND,ND,ND,6/23/2021,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 SJWA Insect sp30-02,8,2021 SJWA Insect sp31-01,85,2021 SJWA Insect sp32-02,80,2021 SJWA Insect sp33,32,,,2021 SJWA PTF,65,,,,,,,Y,Unknown,,Abandoned,n/a,n/a,n/a,"The ARU was placed during the transition from Settlement to Incubation. Breeding progressed to the onset of Brooding, and Nestling Begging Call detections were recorded. Approximately eight days after the onset of Brooding, Tricolored Blackbird vocal detections ceased, reflected in an ARI score of 0.07. No recordings containing Fledgling Begging Calls were detected, and the breeding attempt was therefore classified as Abandoned. The timing of failure was temporally coincident with an extreme heat event, consistent with abandonment during early Brooding.",,"Manual, Jun 23 last nestling heard, manually analyzed every day. Colony failed during an extreme heat wave that coincided with hatching. There are a couple of Fledgling calls at the very start of the recordings. This suggests that there may have been an earlier pulse that was missed. Extremely rough guess.... estimated hatch for this earlier pulse would have been ~5/15/2021, Fledging day ~5/29/2021, all of which was before the placement of the recorder. Though these sound a little ""funny"" so might be a different species.",10m,500,"Bulrush, cattails","Unit placed on the levee surrounding Bridge St. Pond on the San Jacinto Wildlife Area. To the west is private land with perennial ryegrass hay and alfalfa. To the south is the pond which is surrounded by a narrow band of willows and mulefat, and has a dense growth of cattails and bulrush in the pond itself. Beyond the pond is weedy fallow fields. To the east is Mystic Lake bed, mostly grown up in tall forbs, native and non-native. To the north is SJWA irrigated, weedy fields. ",Riverside,Tom Trakes,,,San Jacinto Wildlife Area,2021 San Jacinto Wildlife Area - Bridge Street Pond,,,2026,33.8625,-117.0720,434,,Y
11100,2021 Sedgwick,2021 SP MS 2.1,273,2021 Sedgwick MC01,282,2021 Sedgwick FS01,110,2021 Sedgwick Hatchling,50,2021 Sedgwick Nestling,60,2021 SP FC06,0,3/6/2021,5/6/2021,4/5/2021,4/15/2021,4/16/2021,4/28/2021,13,post,ND,post,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2021 Sedgwick Insect sp30-02,0,2021 Sedgwick Insect sp31-01,55,2021 Sedgwick Insect sp32-02,478,2021 Sedgwick Insect sp33,76,,,2021 Sedgwick PTF,1122,,,,,2021 Sedgwick BF05,0,,Unknown,,Unknown,n/a,n/a,n/a,"A colony established and progressed through Incubation and Brooding, as indicated by sustained Male Chorus and Female Chatter detections and the appearance of Hatchling and Nestling Begging Calls. However, the ARU ceased recording before the transition from Brooding to Fledging, and no Fledgling Begging Call detections were found. Because the deployment ended prior to this critical stage, the breeding outcome could not be determined.",,Batteries died in recorder before nestlings fledged. Unable to confirm successful fledging.,2m,250,"Bulrush, cattails","Mature oak trees in proximity to the colony with some smaller shrubs less than 10 m away from the colony. Besides scattered trees, most of the surrounding vegetation is open grassland.",Santa Barbara,Wendy Schackwitz,,,Sedgwick,2021 Sedgwick Reserve,,,3941,34.6950,-120.0420,343,,
